Player,Span,Mat,Inn,NO,Runs,HS,Avg,100,50,0,Player Profile
IT Botham+//0AoA-(ENG),1977+AC0-1992,102,161,6,5200,208,33.54,14,22,14,http://stats.espncricinfo.com/ci/content/player/9163.html
JH Edrich+//0AoA-(ENG),1963+AC0-1976,77,127,9,5138,310+ACo-,43.54,12,24,6,http://stats.espncricinfo.com/ci/content/player/12490.html
A Ranatunga+//0AoA-(SL),1982+AC0-2000,93,155,12,5105,135+ACo-,35.69,4,38,12,http://stats.espncricinfo.com/ci/content/player/50244.html
Zaheer Abbas+//0AoA-(PAK),1969+AC0-1985,78,124,11,5062,274,44.79,12,20,10,http://stats.espncricinfo.com/ci/content/player/43695.html
TW Graveney+//0AoA-(ENG),1951+AC0-1969,79,123,13,4882,258,44.38,11,20,8,http://stats.espncricinfo.com/ci/content/player/13434.html
MS Dhoni+//0AoA-(INDIA),2005+AC0-2014,90,144,16,4876,224,38.09,6,33,10,http://stats.espncricinfo.com/ci/content/player/28081.html
RB Simpson+//0AoA-(AUS),1957+AC0-1978,62,111,7,4869,311,46.81,10,27,8,http://stats.espncricinfo.com/ci/content/player/7619.html
A Flower+//0AoA-(ZIM),1992+AC0-2002,63,112,19,4794,232+ACo-,51.54,12,27,5,http://stats.espncricinfo.com/ci/content/player/55427.html
IR Redpath+//0AoA-(AUS),1964+AC0-1976,66,120,11,4737,171,43.45,8,31,9,http://stats.espncricinfo.com/ci/content/player/7314.html
NJ Astle+//0AoA-(NZ),1996+AC0-2006,81,137,10,4702,222,37.02,11,24,11,http://stats.espncricinfo.com/ci/content/player/36185.html
AJ Lamb+//0AoA-(ENG),1982+AC0-1992,79,139,10,4656,142,36.09,14,18,9,http://stats.espncricinfo.com/ci/content/player/16178.html
H Sutcliffe+//0AoA-(ENG),1924+AC0-1935,54,84,9,4555,194,60.73,16,23,2,http://stats.espncricinfo.com/ci/content/player/20413.html
DJ Cullinan+//0AoA-(SA),1993+AC0-2001,70,115,12,4554,275+ACo-,44.21,14,20,10,http://stats.espncricinfo.com/ci/content/player/44489.html
HP Tillakaratne+//0AoA-(SL),1989+AC0-2004,83,131,25,4545,204+ACo-,42.87,11,20,9,http://stats.espncricinfo.com/ci/content/player/50744.html
PBH May+//0AoA-(ENG),1951+AC0-1961,66,106,9,4537,285+ACo-,46.77,13,22,8,http://stats.espncricinfo.com/ci/content/player/16956.html
